year,month,country,num_sources,num_articles,total_words
2010,10,BD,2,119,85834
2010,10,CA,239,4754,3341161
2010,10,GB,503,8213,5954533
2010,10,GH,2,160,148871
2010,10,HK,6,42,39517
2010,10,IE,42,836,500698
2010,10,IN,136,4590,2225292
2010,10,JM,2,420,287569
2010,10,KE,4,8,4072
2010,10,LK,8,72,51117
2010,10,MY,9,114,101489
2010,10,NG,15,324,273305
2010,10,NZ,37,845,396976
2010,10,PH,14,88,51176
2010,10,PK,15,313,236316
2010,10,SG,6,71,36732
2010,10,TZ,1,2,689
2010,10,US,1399,9049,7653933
2010,10,ZA,34,942,606924
2010,11,AU,100,1509,1048186
2010,11,BD,1,102,68743
2010,11,CA,236,4617,3273274
2010,11,GB,507,7841,5457013
2010,11,GH,2,191,166472
2010,11,HK,5,37,31765
2010,11,IE,42,929,512995
2010,11,IN,144,4583,2250409
2010,11,JM,3,366,256677
2010,11,KE,1,4,1068
2010,11,LK,11,70,54642
2010,11,MY,7,95,63813
2010,11,NG,14,304,269914
2010,11,NZ,36,770,349389
2010,11,PH,9,88,58001
2010,11,PK,19,366,285282
2010,11,SG,3,50,20573
2010,11,TZ,2,4,2531
2010,11,US,1345,8841,7283239
2010,11,ZA,37,969,710639
2010,12,AU,95,1323,863822
2010,12,BD,2,103,72829
2010,12,CA,245,3731,2670652
2010,12,GB,487,6229,4321740
2010,12,GH,2,143,136491
2010,12,HK,8,80,53008
2010,12,IE,36,746,432392
2010,12,IN,138,5083,2653363
2010,12,JM,3,408,251494
2010,12,KE,2,13,3730
2010,12,LK,12,80,68865
2010,12,MY,9,112,65917
2010,12,NG,15,296,287504
2010,12,NZ,39,725,326293
2010,12,PH,11,72,42714
2010,12,PK,21,397,292114
2010,12,SG,6,47,20209
2010,12,TZ,2,36,27589
2010,12,US,1332,8528,7157558
2010,12,ZA,33,648,467376
2011,1,AU,98,1506,931955
2011,1,BD,1,122,77151
2011,1,CA,254,4528,3196079
2011,1,GB,548,7986,5556805
2011,1,GH,2,139,117358
2011,1,HK,10,70,57307
2011,1,IE,41,986,585327
2011,1,IN,149,5324,2811460
2011,1,JM,2,404,287131
2011,1,KE,4,13,4952
2011,1,LK,13,185,158599
2011,1,MY,10,127,80662
2011,1,NG,14,328,292776
2011,1,NZ,40,788,359140
2011,1,PH,15,77,52367
2011,1,PK,17,392,290087
2011,1,SG,5,65,31830
2011,1,TZ,2,55,33285
2011,1,US,1453,9467,7749085
2011,1,ZA,33,981,578848
2011,2,AU,100,1464,1005653
2011,2,BD,3,118,75761
2011,2,CA,275,4628,3207265
2011,2,GB,513,7115,5101427
2011,2,GH,2,145,110806
2011,2,HK,8,44,41303
2011,2,IE,47,1020,564277
2011,2,IN,150,5280,2671996
2011,2,JM,2,372,261633
2011,2,KE,2,12,4569
2011,2,LK,8,107,85841
2011,2,MY,10,101,69933
2011,2,NG,16,330,299910
2011,2,NZ,40,835,379285
2011,2,PH,15,98,66107
2011,2,PK,18,345,271791
2011,2,SG,8,66,27082
2011,2,TZ,2,42,23901
2011,2,US,1373,8477,7120391
2011,2,ZA,33,1172,712349
2011,3,AU,114,1763,1149203
2011,3,BD,2,103,59706
2011,3,CA,291,5581,3760838
2011,3,GB,560,7669,5390398
2011,3,GH,3,181,168643
2011,3,HK,9,88,88152
2011,3,IE,50,1295,733876
2011,3,IN,155,5757,2977674
2011,3,JM,2,427,290643
2011,3,KE,9,24,11763
2011,3,LK,10,150,108525
2011,3,MY,12,124,76593
2011,3,NG,13,428,340747
2011,3,NZ,46,1105,503445
2011,3,PH,13,128,84073
2011,3,PK,20,377,269610
2011,3,SG,10,125,59549
2011,3,TZ,2,44,28666
2011,3,US,1335,8919,7543603
2011,3,ZA,40,1495,890571
2011,4,AU,120,1771,1182399
2011,4,BD,1,112,65550
2011,4,CA,300,5139,3579359
2011,4,GB,561,7175,5083739
2011,4,GH,2,131,118140
2011,4,HK,8,67,56817
2011,4,IE,53,1174,679387
2011,4,IN,146,5436,2920092
2011,4,JM,2,408,287975
2011,4,KE,4,11,4818
2011,4,LK,13,179,139320
2011,4,MY,9,116,72532
2011,4,NG,13,393,310707
2011,4,NZ,47,1066,494635
2011,4,PH,13,142,99240
2011,4,PK,21,389,293893
2011,4,SG,9,201,111089
2011,4,TZ,2,57,32381
2011,4,US,1344,8231,7038564
2011,4,ZA,40,1360,831018
2011,5,AU,127,2056,1346870
2011,5,BD,3,131,74689
2011,5,CA,299,5519,3749526
2011,5,GB,586,8114,5703420
2011,5,GH,2,129,131234
2011,5,HK,10,71,60036
2011,5,IE,49,1271,736606
2011,5,IN,143,5541,3096698
2011,5,JM,2,435,296052
2011,5,KE,6,16,10462
2011,5,LK,14,199,129154
2011,5,MY,11,109,60427
2011,5,NG,12,375,305817
2011,5,NZ,43,1129,541377
2011,5,PH,15,415,245454
2011,5,PK,18,415,347130
2011,5,SG,8,212,115349
2011,5,TZ,2,68,39232
2011,5,US,1407,8695,7445887
2011,5,ZA,42,1523,952664
2011,6,AU,124,2032,1388299
2011,6,BD,1,107,61126
2011,6,CA,312,6198,4291487
2011,6,GB,569,7810,5550244
2011,6,GH,2,171,144875
2011,6,HK,9,50,46334
2011,6,IE,51,1202,695063
2011,6,IN,139,5957,3374504
2011,6,JM,2,401,265768
2011,6,KE,6,17,8244
2011,6,LK,13,172,105409
2011,6,MY,10,120,73539
2011,6,NG,16,370,323281
2011,6,NZ,47,1044,501202
2011,6,PH,15,569,336496
2011,6,PK,18,483,415330
2011,6,SG,12,270,136052
2011,6,TZ,2,62,44939
2011,6,US,1428,8991,7679807
2011,6,ZA,46,1535,938470
2011,7,AU,125,2072,1322564
2011,7,BD,2,123,88857
2011,7,CA,322,6021,4015845
2011,7,GB,566,7680,5409670
2011,7,GH,2,148,130291
2011,7,HK,7,59,49868
2011,7,IE,49,1243,718428
2011,7,IN,145,6187,3568287
2011,7,JM,2,426,291900
2011,7,KE,6,23,21687
2011,7,LK,14,200,145760
2011,7,MY,11,98,61935
2011,7,NG,14,413,345924
2011,7,NZ,54,1044,515120
2011,7,PH,17,623,379653
2011,7,PK,18,505,397658
2011,7,SG,9,301,141352
2011,7,TZ,3,74,47368
2011,7,US,1332,8024,6910301
2011,7,ZA,45,1850,1143469
2011,8,AU,144,2241,1451638
2011,8,BD,1,115,75086
2011,8,CA,338,6511,4392160
2011,8,GB,569,7767,5395311
2011,8,GH,3,249,208168
2011,8,HK,11,59,52417
2011,8,IE,52,1296,778160
2011,8,IN,152,6113,3388372
2011,8,JM,2,400,248192
2011,8,KE,4,80,57248
2011,8,LK,11,185,131986
2011,8,MY,11,103,63920
2011,8,NG,15,434,372648
2011,8,NZ,56,1290,655464
2011,8,PH,19,741,437911
2011,8,PK,22,558,457922
2011,8,SG,15,343,160558
2011,8,TZ,2,78,47774
2011,8,US,1359,8696,7359766
2011,8,ZA,44,2066,1198858
2011,9,AU,139,2354,1563891
2011,9,BD,3,101,88349
2011,9,CA,347,7431,5152189
2011,9,GB,623,8415,5860191
2011,9,GH,3,177,141979
2011,9,HK,6,57,52172
2011,9,IE,50,1293,746699
2011,9,IN,140,6505,3588889
2011,9,JM,3,410,270444
2011,9,KE,8,59,49413
2011,9,LK,11,137,143737
2011,9,MY,10,115,66128
2011,9,NG,18,458,407969
2011,9,NZ,57,1177,571464
2011,9,PH,15,891,511838
2011,9,PK,21,651,454487
2011,9,SG,13,346,165950
2011,9,TZ,2,96,62373
2011,9,US,1396,8661,7430485
2011,9,ZA,46,2081,1166440
2011,10,AU,119,2271,1567123
2011,10,BD,2,119,92490
